ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2024,18,265,264,0,1
2024,18,286,276,0,0
2024,19,283,286,2,0
2024,19,276,263,2,2
2024,19,287,262,1,2
2024,19,266,275,1,0
2024,19,264,284,2,2
2024,20,275,287,0,2
2024,20,265,285,1,1
2024,20,356,276,1,0
2024,20,263,283,0,3
2024,20,280,266,0,1
2024,20,284,267,1,0
2024,20,282,264,2,1
2024,21,267,280,2,2
2024,21,276,262,1,0
2024,21,264,286,1,1
2024,21,266,265,1,0
2024,21,285,275,1,1
2024,21,283,356,1,2
2024,22,283,282,0,0
2024,22,264,280,1,1
2024,22,267,266,2,0
2024,22,286,263,3,2
2024,22,262,275,1,1
2024,22,265,287,2,0
2024,6,285,286,2,1
2024,23,284,265,0,2
2024,23,280,356,1,2
2024,23,266,264,0,0
2024,23,275,276,2,1
2024,23,263,262,4,1
2024,23,287,283,2,2
2024,24,282,266,0,2
2024,24,265,263,0,0
2024,24,356,264,1,0
2024,24,276,287,2,1
2024,24,285,283,1,0
2024,24,262,280,2,1
2024,5,283,285,0,0
2024,25,263,356,2,0
2024,25,284,282,2,3
2024,25,264,262,2,1
2024,25,280,265,2,1
2024,25,266,276,2,0
2024,25,287,267,0,1
2024,25,286,285,1,3
2024,19,285,356,2,1
2024,26,263,264,2,1
2024,26,280,284,2,2
2024,26,286,266,2,1
2024,26,262,267,1,1
2024,26,283,276,0,1
2024,26,265,282,3,0
2024,27,287,286,1,0
2024,27,266,263,0,1
2024,27,356,265,4,1
2024,27,282,280,3,0
2024,27,267,275,0,1
2024,27,276,285,1,3
2024,27,284,262,3,2
2024,16,280,285,2,2
2024,28,275,282,2,1
2024,28,263,284,0,0
2024,28,286,280,1,1
2024,28,276,264,3,1
2024,28,283,267,1,1
2024,28,285,287,3,1
2024,29,266,283,1,0
2024,29,284,356,3,1
2024,29,282,287,2,2
2024,29,280,275,0,0
2024,29,265,262,0,2
2024,29,264,285,2,2
2024,29,267,286,1,1
2024,6,282,284,2,1
